"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3648592,4022612,832867,1121826
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251416,383,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",90328,0,7732,1632,110484
"06","Buenos Aires","Moderna 010 mg mL",0,46978,24179,0,146853
"06","Buenos Aires","Moderna ARNm 020 mg mL",0,426676,1263544,3185,4534399
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1373688,1451260,77612,5399259
"06","Buenos Aires","Pfizer Bivariante BA 4 5",0,0,0,0,82670
"06","Buenos Aires","Pfizer Pediátrica",0,20556,10543,140955,566
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5955259,5267718,1662,11777
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4315825,2693164,6256,859717
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,728360,762996,204554,506884
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65727,197,0,0
"02","CABA","Cansino Ad5 nCoV",29924,0,1673,44,51041
"02","CABA","Moderna 010 mg mL",0,14288,7068,0,57579
"02","CABA","Moderna ARNm 020 mg mL",0,36423,279751,1489,2062821
"02","CABA","Pfizer BioNTech Comirnaty",0,193567,220416,62875,1285630
"02","CABA","Pfizer Bivariante BA 4 5",0,0,0,0,91419
"02","CABA","Pfizer Pediátrica",0,2847,2007,1623,88214
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1018963,967461,1664,5371
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,896667,627490,231,14068
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86668,86593,18029,59446
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4821,13,0,0
"10","Catamarca","Cansino Ad5 nCoV",2582,0,1036,328,47946
"10","Catamarca","Moderna 010 mg mL",0,5166,2336,0,9314
"10","Catamarca","Moderna ARNm 020 mg mL",0,7718,24252,403,138604
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33573,30771,863,94258
"10","Catamarca","Pfizer Bivariante BA 4 5",0,0,0,0,2887
"10","Catamarca","Pfizer Pediátrica",0,41,66,45,14732
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,171331,157213,43,605
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",0,96760,73676,1649,29047
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",0,240475,220492,29269,92366
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",0,15550,789,0,0
"22","Chaco","Cansino Ad5 nCoV",11382,0,821,212,21228
"22","Chaco","Moderna 010 mg mL",0,4005,1775,0,12606
"22","Chaco","Moderna ARNm 020 mg mL",0,31637,70099,1400,169853
"22","Chaco","Pfizer BioNTech Comirnaty",0,69224,58428,7795,161482
