"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3648432,4022420,832867,1121169
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251406,382,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",90305,0,7732,1530,110361
"06","Buenos Aires","Moderna 010 mg mL",0,41714,17952,0,101458
"06","Buenos Aires","Moderna ARNm 020 mg mL",0,425953,1262285,3185,4489451
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1372800,1449552,77612,5376472
"06","Buenos Aires","Pfizer Pediátrica",0,20396,10178,138236,2
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5954655,5265818,1662,11055
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4315698,2693062,6256,856350
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,728321,762938,204562,506812
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65723,197,0,0
"02","CABA","Cansino Ad5 nCoV",29923,0,1672,44,51028
"02","CABA","Moderna 010 mg mL",0,12542,5569,0,47582
"02","CABA","Moderna ARNm 020 mg mL",0,36394,279696,1489,2060566
"02","CABA","Pfizer BioNTech Comirnaty",0,193329,219957,62878,1281079
"02","CABA","Pfizer Bivariante BA 4 5",0,0,0,0,25544
"02","CABA","Pfizer Pediátrica",0,2683,1973,1585,86318
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1018905,967206,1664,5360
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,896664,627482,231,14054
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86666,86586,18029,59378
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4821,13,0,0
"10","Catamarca","Cansino Ad5 nCoV",2582,0,1036,328,47921
"10","Catamarca","Moderna 010 mg mL",0,4921,2105,0,7265
"10","Catamarca","Moderna ARNm 020 mg mL",0,7718,24246,403,137617
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33569,30753,863,92030
"10","Catamarca","Pfizer Bivariante BA 4 5",0,0,0,0,176
"10","Catamarca","Pfizer Pediátrica",0,38,63,45,14268
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,171292,157121,43,601
