"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3648662,4022686,832866,1121865
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251418,383,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",90333,0,7732,1632,110491
"06","Buenos Aires","Moderna 010 mg mL",0,51981,31258,0,179568
"06","Buenos Aires","Moderna ARNm 020 mg mL",0,426912,1263898,3185,4551011
"06","Buenos Aires","Moderna Bivariante BA 4 5",132,12,7,0,194349
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1374303,1452430,77612,5407848
"06","Buenos Aires","Pfizer Bivariante BA 4 5",0,0,0,0,241712
"06","Buenos Aires","Pfizer Pediátrica",0,20648,10742,141168,2063
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5957394,5271811,1662,12826
"06","Buenos Aires","Sputnik Light",409,0,1041,0,7712
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4315839,2693189,6256,859741
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,728400,763050,204539,506981
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65740,197,0,0
"02","CABA","Cansino Ad5 nCoV",29925,0,1673,44,51053
"02","CABA","Moderna 010 mg mL",0,16539,9682,0,64336
"02","CABA","Moderna ARNm 020 mg mL",0,36687,280077,1489,2065546
"02","CABA","Moderna Bivariante BA 4 5",162,1030,549,0,74442
"02","CABA","Pfizer BioNTech Comirnaty",0,193604,220497,62866,1286542
"02","CABA","Pfizer Bivariante BA 4 5",0,0,2,0,226755
"02","CABA","Pfizer Pediátrica",0,2891,2057,1678,89476
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1019518,968476,1664,5458
"02","CABA","Sputnik Light",174,0,233,0,78
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,896686,627509,231,14083
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86673,86605,18029,59945
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4822,13,0,0
"10","Catamarca","Cansino Ad5 nCoV",2587,0,1050,328,48692
"10","Catamarca","Moderna 010 mg mL",0,5654,2897,0,13057
"10","Catamarca","Moderna ARNm 020 mg mL",0,7724,24269,403,141390
"10","Catamarca","Moderna Bivariante BA 4 5",40,155,78,0,9079
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33596,30812,863,97317
"10","Catamarca","Pfizer Bivariante BA 4 5",0,1,5,0,14745
"10","Catamarca","Pfizer Pediátrica",0,46,91,52,15582
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,171530,157629,43,667
"10","Catamarca","Sputnik Light",5,0,3,0,294
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",0,96760,73693,1649,29526
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",0,240528,220661,29269,92660
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",0,15552,791,0,0
