"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",394421,0
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",226634,1
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",668254,2
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",1471399,272784
"02","CABA","AstraZeneca ChAdOx1 S recombinante",72611,22
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",63957,177
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",138242,27432
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",364829,109574
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",8322,48
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",4384,1
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",19948,2242
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",31844,6416
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",11899,5317
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",14932,284
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",50779,1335
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",73433,23112
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",10397,285
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",9176,157
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",26287,412
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",38093,10453
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",11560,10
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",18203,58
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",47038,570
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",72000,15451
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",69548,7261
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",42778,25
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",144574,7707
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",297099,70535
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",23878,138
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",16146,101
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",64220,975
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",88630,23537
"34","Formosa","AstraZeneca ChAdOx1 S recombinante",12143,2
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",7259,0
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",29530,2489
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",40872,8266
"38","Jujuy","AstraZeneca ChAdOx1 S recombinante",9158,4
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",13412,175
"38","Jujuy","Sinopharm Vacuna SARSCOV 2 inactivada",29895,714
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",53153,15415
"42","La Pampa","AstraZeneca ChAdOx1 S recombinante",9492,0
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",4522,0
"42","La Pampa","Sinopharm Vacuna SARSCOV 2 inactivada",22272,2927
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",29774,8855
"46","La Rioja","AstraZeneca ChAdOx1 S recombinante",5568,218
"46","La Rioja","COVISHIELD ChAdOx1nCoV COVID 19",7081,34
"46","La Rioja","Sinopharm Vacuna SARSCOV 2 inactivada",20934,357
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",31783,9475
"50","Mendoza","AstraZeneca ChAdOx1 S recombinante",38708,84
"50","Mendoza","COVISHIELD ChAdOx1nCoV COVID 19",22811,267
"50","Mendoza","Sinopharm Vacuna SARSCOV 2 inactivada",63757,606
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",153202,33662
"54","Misiones","AstraZeneca ChAdOx1 S recombinante",8208,1217
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",15211,128
"54","Misiones","Sinopharm Vacuna SARSCOV 2 inactivada",46609,766
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",64286,17482
"58","Neuquén","AstraZeneca ChAdOx1 S recombinante",8465,616
"58","Neuquén","COVISHIELD ChAdOx1nCoV COVID 19",10149,51
"58","Neuquén","Sinopharm Vacuna SARSCOV 2 inactivada",32723,1365
"58","Neuquén","Sputnik V COVID19 Instituto Gamaleya",51621,17782
"62","Río Negro","AstraZeneca ChAdOx1 S recombinante",12988,296
"62","Río Negro","COVISHIELD ChAdOx1nCoV COVID 19",13541,18
"62","Río Negro","Sinopharm Vacuna SARSCOV 2 inactivada",40276,1016
"62","Río Negro","Sputnik V COVID19 Instituto Gamaleya",57624,12908
"66","Salta","AstraZeneca ChAdOx1 S recombinante",16358,126
"66","Salta","COVISHIELD ChAdOx1nCoV COVID 19",17478,15
"66","Salta","Sinopharm Vacuna SARSCOV 2 inactivada",48568,70
"66","Salta","Sputnik V COVID19 Instituto Gamaleya",98739,25577
"70","San Juan","AstraZeneca ChAdOx1 S recombinante",19486,8
"70","San Juan","COVISHIELD ChAdOx1nCoV COVID 19",8670,11
"70","San Juan","Sinopharm Vacuna SARSCOV 2 inactivada",30642,1319
"70","San Juan","Sputnik V COVID19 Instituto Gamaleya",70897,12655
"74","San Luis","AstraZeneca ChAdOx1 S recombinante",13010,1
"74","San Luis","COVISHIELD ChAdOx1nCoV COVID 19",6814,0
"74","San Luis","Sinopharm Vacuna SARSCOV 2 inactivada",27771,3173
"74","San Luis","Sputnik V COVID19 Instituto Gamaleya",42066,13808
"78","Santa Cruz","AstraZeneca ChAdOx1 S recombinante",2741,9
"78","Santa Cruz","COVISHIELD ChAdOx1nCoV COVID 19",5602,635
"78","Santa Cruz","Sinopharm Vacuna SARSCOV 2 inactivada",15375,1561
"78","Santa Cruz","Sputnik V COVID19 Instituto Gamaleya",24128,6753
"82","Santa Fe","AstraZeneca ChAdOx1 S recombinante",76987,92
"82","Santa Fe","COVISHIELD ChAdOx1nCoV COVID 19",40384,49
"82","Santa Fe","Sinopharm Vacuna SARSCOV 2 inactivada",135487,95
"82","Santa Fe","Sputnik V COVID19 Instituto Gamaleya",299131,65803
"86","Santiago del Estero","AstraZeneca ChAdOx1 S recombinante",8960,40
"86","Santiago del Estero","COVISHIELD ChAdOx1nCoV COVID 19",11047,23
"86","Santiago del Estero","Sinopharm Vacuna SARSCOV 2 inactivada",38985,402
"86","Santiago del Estero","Sputnik V COVID19 Instituto Gamaleya",61026,12660
"94","Tierra del Fuego","AstraZeneca ChAdOx1 S recombinante",1059,730
"94","Tierra del Fuego","COVISHIELD ChAdOx1nCoV COVID 19",2662,671
"94","Tierra del Fuego","Sinopharm Vacuna SARSCOV 2 inactivada",7234,2298
"94","Tierra del Fuego","Sputnik V COVID19 Instituto Gamaleya",14882,4376
"90","Tucumán","AstraZeneca ChAdOx1 S recombinante",9891,15883
"90","Tucumán","COVISHIELD ChAdOx1nCoV COVID 19",20264,0
"90","Tucumán","Sinopharm Vacuna SARSCOV 2 inactivada",53172,11384
"90","Tucumán","Sputnik V COVID19 Instituto Gamaleya",134592,34719
