"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",2663449,508312
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",250396,308
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",935191,656152
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",3052686,546363
"02","CABA","AstraZeneca ChAdOx1 S recombinante",577096,133543
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",65363,186
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",268531,136292
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",692997,165423
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",55893,8845
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",4513,1
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",33897,19512
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",66126,15451
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",169625,26019
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",15250,550
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",89762,48315
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",184049,35977
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",93289,11021
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",11663,609
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",55786,29504
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",94185,18687
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",123142,35271
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",19566,391
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",92766,49111
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",174212,35686
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",620219,116338
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",43985,88
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",290970,140969
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",642815,133148
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",209540,30641
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",17017,272
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",101594,67804
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",206009,44175
"34","Formosa","AstraZeneca ChAdOx1 S recombinante",98624,8348
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",7322,0
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",59339,22858
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",89662,20423
"38","Jujuy","AstraZeneca ChAdOx1 S recombinante",132285,23635
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",13959,280
"38","Jujuy","Sinopharm Vacuna SARSCOV 2 inactivada",66894,35513
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",122011,31250
"42","La Pampa","AstraZeneca ChAdOx1 S recombinante",62489,14419
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",4554,0
"42","La Pampa","Sinopharm Vacuna SARSCOV 2 inactivada",37877,21864
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",62412,15548
"46","La Rioja","AstraZeneca ChAdOx1 S recombinante",54346,12301
"46","La Rioja","COVISHIELD ChAdOx1nCoV COVID 19",7197,108
"46","La Rioja","Sinopharm Vacuna SARSCOV 2 inactivada",34297,20865
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",67216,15832
"50","Mendoza","AstraZeneca ChAdOx1 S recombinante",286943,54042
"50","Mendoza","COVISHIELD ChAdOx1nCoV COVID 19",24718,409
"50","Mendoza","Sinopharm Vacuna SARSCOV 2 inactivada",147177,66175
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",339189,69344
"54","Misiones","AstraZeneca ChAdOx1 S recombinante",132910,22690
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",16280,789
"54","Misiones","Sinopharm Vacuna SARSCOV 2 inactivada",68000,45814
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",170205,36835
"58","Neuquén","AstraZeneca ChAdOx1 S recombinante",97280,19794
"58","Neuquén","COVISHIELD ChAdOx1nCoV COVID 19",12345,62
"58","Neuquén","Sinopharm Vacuna SARSCOV 2 inactivada",52617,32315
"58","Neuquén","Sputnik V COVID19 Instituto Gamaleya",109027,27351
"62","Río Negro","AstraZeneca ChAdOx1 S recombinante",109445,27187
"62","Río Negro","COVISHIELD ChAdOx1nCoV COVID 19",13910,90
"62","Río Negro","Sinopharm Vacuna SARSCOV 2 inactivada",53563,42234
"62","Río Negro","Sputnik V COVID19 Instituto Gamaleya",118915,29094
"66","Salta","AstraZeneca ChAdOx1 S recombinante",227132,31732
"66","Salta","COVISHIELD ChAdOx1nCoV COVID 19",17767,49
"66","Salta","Sinopharm Vacuna SARSCOV 2 inactivada",89596,46767
"66","Salta","Sputnik V COVID19 Instituto Gamaleya",229495,48516
"70","San Juan","AstraZeneca ChAdOx1 S recombinante",105441,25857
"70","San Juan","COVISHIELD ChAdOx1nCoV COVID 19",8834,12
"70","San Juan","Sinopharm Vacuna SARSCOV 2 inactivada",60848,29880
"70","San Juan","Sputnik V COVID19 Instituto Gamaleya",138623,28199
"74","San Luis","AstraZeneca ChAdOx1 S recombinante",86011,18913
"74","San Luis","COVISHIELD ChAdOx1nCoV COVID 19",6826,0
"74","San Luis","Sinopharm Vacuna SARSCOV 2 inactivada",49882,27434
"74","San Luis","Sputnik V COVID19 Instituto Gamaleya",85592,22472
"78","Santa Cruz","AstraZeneca ChAdOx1 S recombinante",36296,8843
"78","Santa Cruz","COVISHIELD ChAdOx1nCoV COVID 19",5891,715
"78","Santa Cruz","Sinopharm Vacuna SARSCOV 2 inactivada",34128,17297
"78","Santa Cruz","Sputnik V COVID19 Instituto Gamaleya",61356,14571
"82","Santa Fe","AstraZeneca ChAdOx1 S recombinante",569520,115348
"82","Santa Fe","COVISHIELD ChAdOx1nCoV COVID 19",41195,52
"82","Santa Fe","Sinopharm Vacuna SARSCOV 2 inactivada",269137,134283
"82","Santa Fe","Sputnik V COVID19 Instituto Gamaleya",600256,118040
"86","Santiago del Estero","AstraZeneca ChAdOx1 S recombinante",131994,19778
"86","Santiago del Estero","COVISHIELD ChAdOx1nCoV COVID 19",11801,1124
"86","Santiago del Estero","Sinopharm Vacuna SARSCOV 2 inactivada",88456,45131
"86","Santiago del Estero","Sputnik V COVID19 Instituto Gamaleya",156475,24460
"94","Tierra del Fuego","AstraZeneca ChAdOx1 S recombinante",28804,2828
"94","Tierra del Fuego","COVISHIELD ChAdOx1nCoV COVID 19",2722,744
"94","Tierra del Fuego","Sinopharm Vacuna SARSCOV 2 inactivada",14220,9554
"94","Tierra del Fuego","Sputnik V COVID19 Instituto Gamaleya",29016,7423
"90","Tucumán","AstraZeneca ChAdOx1 S recombinante",281751,40251
"90","Tucumán","COVISHIELD ChAdOx1nCoV COVID 19",20513,0
"90","Tucumán","Sinopharm Vacuna SARSCOV 2 inactivada",129928,59572
"90","Tucumán","Sputnik V COVID19 Instituto Gamaleya",277130,59394
